,2009,2010,2011,2012,2013,2014,2015,2016,AggregateTravelTime,BldgArea,MedianHI,NumBike,NumWalk,NumWorkers_Transit,Salecount,Saleprice,TotalPopRace,TotalWhite,Tract,Under18,Year,pctC,pctM,pctR,TRACTCE,Shape_Area
68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1912.56,12581419102601.92,193942.0,1.83,4.25,39.08,0.041353383458646614,863738.2352941177,3831,78.8,2100,0.44,2013,0.07033933608220698,0.7628631788387821,0.09493525704536353,2100,6.046406162899999e-05
69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1891.79,13418205428840.6,204205.0,1.97,4.4,40.15,0.06390977443609022,8328500.0,3798,79.15,2100,0.42,2014,0.06591302165658104,0.8232425659345914,0.0902787706737373,2100,6.046406162899999e-05
70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1831.66,13597462324722.06,208036.0,2.54,4.73,39.12,0.07894736842105263,75000.0,4295,79.77,2100,0.45,2015,0.06504408277826958,0.8255727793374946,0.08908861534853771,2100,6.046406162899999e-05
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1787.6,13769159357972.98,211071.0,2.14,4.24,38.81,0.041353383458646614,137598333.33333334,4628,77.85,2100,0.49,2016,0.06423300377531728,0.8283105674410806,0.08741497248238013,2100,6.046406162899999e-05
72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9857416160500.93,38021.0,0.0,6.05,26.03,0.08695652173913042,80000.0,5490,58.91,2200,2.89,2009,0.0553783124494717,0.2890127488934566,0.5651252821528102,2200,3.6201626693000006e-05
73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9993503967874.31,38070.0,0.0,5.33,24.28,0.13043478260869565,505584.0,5181,61.63,2200,2.8,2010,0.054624191258194524,0.2797796789273956,0.5763446459751489,2200,3.6201626693000006e-05
74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1875.44,9986979399185.64,35045.0,0.0,5.28,28.42,0.1391304347826087,613785.7142857143,4528,51.3,2200,2.88,2011,0.054659877652817115,0.2802268819170178,0.5758034479258316,2200,3.6201626693000006e-05
75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9986979399185.64,37048.0,0.0,5.36,30.61,0.19130434782608696,429047.61904761905,4325,52.46,2200,1.86,2012,0.054659877652817115,0.2802268819170178,0.5758034479258316,2200,3.6201626693000006e-05
76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10044012747921.85,38325.0,0.0,6.43,29.02,0.11304347826086955,677478.2051282051,4666,46.36,2200,2.25,2013,0.05434950012320907,0.27863565758439823,0.5782121814165523,2200,3.6201626693000006e-05
77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10035264522249.96,38702.0,0.0,5.72,29.81,0.060869565217391314,1101656.8823529412,4774,42.84,2200,2.15,2014,0.05439687921233803,0.2788785577697775,0.5778444885655624,2200,3.6201626693000006e-05
